altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,7,20,Chicago,33,True,True,Chicago,2019-07-13 23:09:24,41.877181,Chicago,-87.627844,60602,Chicago,Chicago,State St & Van Buren St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,3,12,Chicago,34,True,True,Chicago,2019-07-13 22:57:55,41.9267559875,Chicago,-87.6344287848,60602,Chicago,Chicago,Cannon Dr & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,32,Chicago,35,True,True,Chicago,2019-07-13 23:05:40,41.892278,Chicago,-87.612043,60602,Chicago,Chicago,Streeter Dr & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,47
0.0,5,34,Chicago,36,True,True,Chicago,2019-07-13 22:58:29,41.8777079559,Chicago,-87.6353211408,60602,Chicago,Chicago,Franklin St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,39
0.0,1,17,Chicago,37,True,True,Chicago,2019-07-13 23:09:30,41.8793563587,Chicago,-87.6297910363,60602,Chicago,Chicago,Dearborn St & Adams St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,17,Chicago,38,True,True,Chicago,2019-07-13 23:10:29,41.88602082773,Chicago,-87.6308760584,60602,Chicago,Chicago,Clark St & Lake St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,7,16,Chicago,39,True,True,Chicago,2019-07-13 23:07:24,41.87947235235,Chicago,-87.6256886059,60602,Chicago,Chicago,Wabash Ave & Adams St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,13,Chicago,40,True,True,Chicago,2019-07-13 23:11:03,41.87934437346,Chicago,-87.6319852213,60602,Chicago,Chicago,LaSalle St & Adams St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,11,6,Chicago,41,True,True,Chicago,2019-07-13 22:59:47,41.87207763285,Chicago,-87.6295437729,60602,Chicago,Chicago,Federal St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,2,Chicago,42,True,True,Chicago,2019-07-13 22:55:53,41.852619,Chicago,-87.626488,60602,Chicago,Chicago,Wabash Ave & Cermak Rd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,28,12,Chicago,43,True,True,Chicago,2019-07-13 23:09:20,41.88355,Chicago,-87.62418,60602,Chicago,Chicago,Michigan Ave & Washington St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,9,14,Chicago,44,True,True,Chicago,2019-07-13 23:08:41,41.8847302006,Chicago,-87.6277335692,60602,Chicago,Chicago,State St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,1,14,Chicago,45,True,True,Chicago,2019-07-13 22:56:46,41.876243,Chicago,-87.624426,60602,Chicago,Chicago,Michigan Ave & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,7,Chicago,46,True,True,Chicago,2019-07-13 22:58:17,41.89993001,Chicago,-87.63443007,60602,Chicago,Chicago,Wells St & Walton St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,27,2,Chicago,47,True,True,Chicago,2019-07-13 23:09:09,41.889187,Chicago,-87.627754,60602,Chicago,Chicago,State St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,24,18,Chicago,48,True,True,Chicago,2019-07-13 22:54:57,41.897764,Chicago,-87.642884,60602,Chicago,Chicago,Larrabee St & Kingsbury St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,0,38,Chicago,49,True,True,Chicago,2019-07-13 23:08:24,41.881319815,Chicago,-87.6295209193,60602,Chicago,Chicago,Dearborn St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,0,34,Chicago,50,True,True,Chicago,2019-07-13 22:57:19,41.8759326655,Chicago,-87.6305845355,60602,Chicago,Chicago,Clark St & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,35
0.0,10,26,Chicago,51,True,True,Chicago,2019-07-13 22:58:03,41.884576228,Chicago,-87.63188991,60602,Chicago,Chicago,Clark St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,17,18,Chicago,52,True,True,Chicago,2019-07-13 23:09:16,41.886024,Chicago,-87.624117,60602,Chicago,Chicago,Michigan Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,35
0.0,17,10,Chicago,53,True,True,Chicago,2019-07-13 23:09:05,41.894722,Chicago,-87.634362,60602,Chicago,Chicago,Wells St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,14,4,Chicago,54,True,True,Chicago,2019-07-13 22:57:09,41.896362458,Chicago,-87.6540612729,60602,Chicago,Chicago,Ogden Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,14,Chicago,55,True,True,Chicago,2019-07-13 22:56:13,41.867324,Chicago,-87.648625,60602,Chicago,Chicago,Halsted St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
